,missing_values,missing_ratio
mean_radius,0,0.0
mean_texture,0,0.0
mean_perimeter,0,0.0
mean_area,0,0.0
mean_smoothness,0,0.0
mean_compactness,0,0.0
mean_concavity,0,0.0
mean_concave_points,0,0.0
mean_symmetry,0,0.0
mean_fractal_dimension,0,0.0
radius_error,0,0.0
texture_error,0,0.0
perimeter_error,0,0.0
area_error,0,0.0
smoothness_error,0,0.0
compactness_error,0,0.0
concavity_error,0,0.0
concave_points_error,0,0.0
symmetry_error,0,0.0
fractal_dimension_error,0,0.0
worst_radius,0,0.0
worst_texture,0,0.0
worst_perimeter,0,0.0
worst_area,0,0.0
worst_smoothness,0,0.0
worst_compactness,0,0.0
worst_concavity,0,0.0
worst_concave_points,0,0.0
worst_symmetry,0,0.0
worst_fractal_dimension,0,0.0
