feature,importance
worst_perimeter,0.7697121780950842
worst_concave_points,0.09828589895704891
worst_texture,0.04197963278649559
area_perimeter_ratio,0.030027070586588628
worst_area,0.021360800010609048
texture_band_low,0.02074949394636721
worst_concavity,0.0056046573521261215
compactness_error,0.004526312745620027
area_error,0.004205265967774239
worst_radius_delta,0.003548689552285744
smoothness_error,4.053809504921582e-16
radius_error,0.0
mean_fractal_dimension,0.0
mean_symmetry,0.0
mean_concave_points,0.0
mean_concavity,0.0
mean_compactness,0.0
mean_smoothness,0.0
mean_area,0.0
mean_perimeter,0.0
mean_texture,0.0
mean_radius,0.0
texture_error,0.0
symmetry_error,0.0
concave_points_error,0.0
concavity_error,0.0
perimeter_error,0.0
worst_compactness,0.0
worst_smoothness,0.0
worst_radius,0.0
fractal_dimension_error,0.0
worst_fractal_dimension,0.0
compactness_to_concavity_ratio,0.0
radius_error_pct,0.0
worst_symmetry,0.0
radius_band_large,0.0
radius_band_medium,0.0
radius_band_small,0.0
texture_band_high,0.0
texture_band_moderate,0.0
concavity_band_elevated,0.0
concavity_band_mild,0.0
concavity_band_severe,0.0
